name,year_start,year_end,position,height,weight,birth_date,college
Bill Jones,1989,1989,F,06-Jul,175,"March 18, 1966",University of Iowa
Bill Keller,1970,1976,G,05-Oct,177,"August 30, 1947",Purdue University
Bill Laimbeer,1981,1994,C,06-Nov,245,"May 19, 1957",University of Notre Dame
Bill Ligon,1975,1975,G,06-Apr,180,"May 29, 1952",Vanderbilt University
Bill Martin,1986,1988,F,06-Jul,205,"August 16, 1962",Georgetown University
Bill Mayfield,1981,1981,F,06-Jul,205,"October 17, 1957",University of Iowa
Bill McGill,1963,1970,C-F,06-Sep,225,"September 16, 1939",University of Utah
Bill Melchionni,1967,1976,G,06-Jan,165,"October 19, 1944",Villanova University
Bill Meyer,1968,1968,G,06-Mar,195,"August 30, 1943",Hiram College
Bill Miller,1949,1949,F,06-Mar,190,"November 24, 1924",University of North Carolina
Bill Mlkvy,1953,1953,F,06-Apr,190,"January 19, 1931",Temple University
Bill Newton,1973,1974,C,06-Sep,220,"December 22, 1950",Louisiana State University
Bill Roberts,1949,1950,C,06-Sep,210,"March 13, 1925",University of Wyoming
Bill Robinzine,1976,1982,F,06-Jul,230,"January 20, 1953",DePaul University
Bill Russell,1957,1969,C,06-Oct,215,"February 12, 1934",University of San Francisco
Bill Sharman,1951,1961,G,06-Jan,175,"May 25, 1926",University of Southern California
Bill Smith,1962,1962,G-F,06-May,190,"April 26, 1939",Saint Peter's College
Bill Stricker,1971,1971,F,06-Sep,210,"January 22, 1948",University of the Pacific
Bill Thieben,1957,1958,F-C,06-Jul,215,"March 28, 1935",Hofstra University
Bill Tosheff,1952,1954,G,06-Jan,175,"June 2, 1926",Indiana University
Bill Turner,1968,1973,F,06-Jul,220,"February 18, 1944",University of Akron
Bill Walton,1975,1987,C-F,06-Nov,210,"November 5, 1952","University of California, Los Angeles"
Bill Wennington,1986,2000,C,7-0,245,"April 26, 1963",St. John's University
Bill Willoughby,1976,1984,F-C,06-Aug,205,"May 20, 1957",
Bill Zopf,1971,1971,G,06-Jan,170,"June 7, 1948",Duquesne University
Billy Cunningham,1966,1976,F-C,06-Jun,210,"June 3, 1943",University of North Carolina
Billy DeAngelis,1971,1971,G,06-Jan,180,"October 5, 1946",Saint Joseph's University
Billy Donovan,1988,1988,G,05-Nov,171,"May 30, 1965",Providence College
Billy Evans,1970,1970,G,6-0,170,"March 3, 1947",Boston College
Billy Harris,1975,1975,G,06-Feb,185,"November 12, 1951",Northern Illinois University
Billy Hassett,1950,1951,G,05-Nov,180,"October 21, 1921",University of Notre Dame
Billy James,1974,1974,G,06-Mar,185,"February 11, 1950",Marshall University
Billy Kenville,1954,1960,G-F,06-Feb,187,"December 1, 1930",St. Bonaventure University
Billy Knight,1975,1985,G-F,06-Jun,195,"June 9, 1952",University of Pittsburgh
Billy McKinney,1979,1986,G,6-0,160,"June 5, 1955",Northwestern University
Billy Owens,1992,2001,F-G,06-Aug,220,"May 1, 1969",Syracuse University
Billy Paultz,1971,1985,C-F,06-Nov,235,"July 30, 1948",St. John's University
Billy Ray Bates,1980,1983,G,06-Apr,210,"May 31, 1956",Kentucky State University
Billy Reid,1981,1981,G,06-May,190,"September 10, 1957",University of San Francisco
Billy Schaeffer,1974,1976,F,06-May,200,"December 11, 1951",St. John's University
Billy Shepherd,1973,1975,G,05-Oct,160,"November 18, 1949",Butler University
Billy Thomas,2005,2008,G,06-Apr,208,"December 23, 1975",University of Kansas
Billy Thompson,1987,1992,F,06-Jul,195,"December 1, 1963",University of Louisville
Bimbo Coles,1991,2004,G,06-Jan,180,"April 22, 1968",Virginia Polytechnic Institute and State University
Bingo Smith,1970,1980,F-G,06-May,195,"February 26, 1946",University of Tulsa
Bird Averitt,1974,1978,G,06-Jan,170,"July 22, 1952",Pepperdine University
Bismack Biyombo,2012,2018,C-F,06-Sep,255,"August 28, 1992",
Bison Dele,1992,1999,F-C,06-Sep,235,"April 6, 1969",University of Arizona
Blackie Towery,1949,1950,F-C,06-Apr,210,"June 20, 1920",Western Kentucky University
Blaine Denning,1953,1953,G,06-Feb,175,"September 19, 1930",Lawrence Technological University
Blair Rasmussen,1986,1993,C,7-0,250,"November 13, 1962",University of Oregon
Blake Ahearn,2008,2012,G,06-Feb,190,"May 27, 1984",Missouri State University
Blake Griffin,2011,2018,F,06-Oct,251,"March 16, 1989",University of Oklahoma
Blue Edwards,1990,1999,G-F,06-Apr,200,"October 31, 1965",East Carolina University
Bo Ellis,1978,1980,F,06-Sep,197,"August 8, 1954",Marquette University
Bo Erias,1958,1958,F,06-Mar,220,"July 30, 1932",Niagara University
Bo Kimble,1991,1993,G,06-Apr,190,"April 9, 1966",Loyola Marymount University
Bo Lamar,1974,1977,G,06-Jan,180,"April 7, 1951",University of Louisiana at Lafayette
Bo Outlaw,1994,2008,F,06-Aug,210,"April 13, 1971",University of Houston
Bob Allen,1969,1969,F,06-Sep,205,"July 17, 1946",Marshall University
Bob Anderegg,1960,1960,F-G,06-Mar,200,"August 24, 1937",Michigan State University
Bob Armstrong,1957,1957,C-F,06-Aug,220,"June 17, 1933",Michigan State University
Bob Arnzen,1970,1974,F,06-May,205,"November 3, 1947",University of Notre Dame
Bob Bedell,1968,1971,F,06-Jul,205,"June 26, 1944",Stanford University
Bob Bigelow,1976,1979,F-G,06-Jul,215,"December 26, 1953",University of Pennsylvania
Bob Boozer,1961,1971,F,06-Aug,215,"April 26, 1937",Kansas State University
Bob Brannum,1950,1955,F-C,06-May,215,"May 28, 1925",Michigan State University
Bob Brown,1949,1950,F,06-Apr,205,"November 12, 1923",Miami University
Bob Burrow,1957,1958,C-F,06-Jul,228,"June 29, 1934",University of Kentucky
Bob Carney,1955,1955,G,06-Mar,170,"August 3, 1932",Bradley University
Bob Carpenter,1950,1951,F-C,06-May,200,"November 6, 1917",East Texas State University
Bob Carrington,1978,1980,G-F,06-Jun,195,"July 3, 1953",Boston College
Bob Christian,1970,1974,C,06-Oct,255,"May 11, 1946",Grambling State University
Bob Cluggish,1947,1947,C,06-Oct,235,"September 18, 1917",University of Kentucky
Bob Cousy,1951,1970,G,06-Jan,175,"August 9, 1928",College of the Holy Cross
Bob Dandridge,1970,1982,F-G,06-Jun,195,"November 15, 1947",Norfolk State University
Bob Davies,1949,1955,G-F,06-Jan,175,"January 15, 1920",Seton Hall University
Bob Davis,1973,1973,F,06-Jul,215,"April 2, 1950",Weber State University
Bob Dille,1947,1947,F,06-Mar,190,"July 2, 1917",Valparaiso University
Bob Doll,1947,1950,F-C,06-May,195,"August 10, 1919",University of Colorado
Bob Donham,1951,1954,G-F,06-Feb,190,"October 11, 1926",Ohio State University
Bob Duffy,1947,1947,F,06-Apr,175,"July 5, 1922",Tulane University
Bob Duffy,1963,1965,G,06-Mar,185,"September 26, 1940",Colgate University
Bob Elliott,1979,1981,C-F,06-Sep,225,"August 18, 1955",University of Arizona
Bob Evans,1950,1950,G,06-Feb,175,"May 31, 1925",Butler University
Bob Faught,1947,1947,F,06-May,185,"September 2, 1921",University of Notre Dame
Bob Feerick,1947,1950,F-G,06-Mar,190,"January 2, 1920",Santa Clara University
Bob Ferry,1960,1969,C-F,06-Aug,230,"May 31, 1937",Saint Louis University
Bob Fitzgerald,1947,1949,F-C,06-May,190,"March 14, 1923",Seton Hall University
Bob Ford,1973,1973,F,06-Jul,228,"January 26, 1950",Purdue University
Bob Gantt,1947,1947,F-C,06-Apr,205,"June 22, 1922",Duke University
Bob Greacen,1970,1972,F,06-Jul,206,"September 15, 1947",Rutgers University
Bob Gross,1976,1983,F-G,06-Jun,200,"August 3, 1953","California State University, Long Beach"
Bob Hansen,1984,1992,G,06-Jun,190,"January 18, 1961",University of Iowa
Bob Harris,1950,1954,F-C,06-Jul,195,"March 16, 1927",Oklahoma State University
Bob Harrison,1950,1958,G,06-Jan,190,"August 12, 1927",University of Michigan
Bob Hogsett,1967,1968,F,06-Jul,230,"January 29, 1941",University of Tennessee
Bob Hopkins,1957,1960,C-F,06-Aug,205,"November 3, 1934",Grambling State University
Bob Houbregs,1954,1958,C-F,06-Jul,210,"March 12, 1932",University of Washington
Bob Hubbard,1948,1949,C-F,06-Jun,215,"December 27, 1922",Springfield College
Bob Kauffman,1969,1975,F-C,06-Aug,240,"July 13, 1946",Guilford College
Bob Kinney,1949,1950,C-F,06-Jun,215,"September 16, 1920",Rice University
Bob Knight,1955,1955,G-F,06-Feb,185,"April 30, 1929",
Bob Lackey,1973,1974,G-F,06-May,200,"April 4, 1949",Marquette University
Bob Lanier,1971,1984,C,06-Nov,250,"September 10, 1948",St. Bonaventure University
Bob Lavoy,1951,1954,F-C,06-Jul,185,"June 29, 1926",Western Kentucky University
Bob Lochmueller,1953,1953,F,06-May,185,"June 5, 1927",University of Louisville
Bob Love,1967,1977,F,06-Aug,215,"December 8, 1942",Southern University and A&M College
Bob Martin,1994,1995,C,7-0,250,"October 7, 1969",University of Minnesota
Bob McAdoo,1973,1986,C-F,06-Sep,210,"September 25, 1951",University of North Carolina
Bob McCann,1990,1998,F,06-Jun,244,"April 22, 1964",Morehead State University
Bob McIntyre,1968,1970,F,06-Jun,215,"January 23, 1944",St. John's University
Bob McNeill,1961,1962,G,06-Jan,170,"October 22, 1938",Saint Joseph's University
Bob Miller,1984,1984,F,06-Oct,230,"July 9, 1956",University of Cincinnati
Bob Mullens,1947,1947,G,06-Jan,175,"November 1, 1922",Fordham University
Bob Naber,1953,1953,F,06-Mar,185,"September 3, 1929",University of Louisville
Bob Nash,1973,1979,F,06-Aug,195,"August 24, 1950",University of Hawaii
Bob Netolicky,1968,1976,F-C,06-Sep,220,"August 2, 1942",Drake University
Bob O'Brien,1948,1949,F,06-Apr,190,"January 26, 1927",Pepperdine University
Bob Peterson,1954,1956,F,06-May,210,"January 25, 1932",University of Oregon
Bob Pettit,1955,1965,F-C,06-Sep,205,"December 12, 1932",Louisiana State University
Bob Portman,1970,1973,F,06-May,200,"March 22, 1947",Creighton University
Bob Priddy,1953,1953,F,06-Mar,190,"March 24, 1930",New Mexico State University
Bob Quick,1969,1972,F-G,06-May,215,"March 5, 1946",Xavier University
Bob Rensberger,1947,1947,F,06-Feb,170,"March 7, 1921",University of Notre Dame
Bob Riedy,1968,1968,F,06-Jun,215,"August 26, 1945",Duke University
Bob Riley,1971,1971,F,06-Sep,235,"July 6, 1948",Mount St. Mary's University
Bob Royer,1950,1950,G,05-Oct,155,"October 15, 1927",Indiana State University
Bob Rule,1968,1975,C-F,06-Sep,220,"June 29, 1944",Colorado State University
Bob Santini,1956,1956,F,06-May,190,"February 17, 1935",Iona College
Bob Schafer,1956,1957,G,06-Mar,195,,Villanova University
Bob Shea,1947,1947,F,06-Feb,194,"September 11, 1924",University of Rhode Island
Bob Sims,1962,1968,G-F,06-May,220,"October 9, 1938",Pepperdine University
Bob Sura,1996,2005,G,06-May,200,"March 25, 1973",Florida State University
Bob Thornton,1986,1996,F-C,06-Oct,225,"July 10, 1962","University of California, Irvine"
Bob Tough,1949,1950,G-F,6-0,185,"August 28, 1920",St. John's University
Bob Verga,1968,1974,G,06-Jan,190,"September 7, 1945",Duke University
Bob Warlick,1966,1970,G-F,06-May,200,"March 20, 1941",Pepperdine University
Bob Warren,1969,1976,G,06-May,190,"July 17, 1946",Vanderbilt University
Bob Weiss,1966,1977,G,06-Feb,180,"May 7, 1942",Pennsylvania State University
Bob Wiesenhahn,1962,1962,F,06-Apr,215,"December 22, 1938",University of Cincinnati
Bob Wilkerson,1977,1983,G-F,06-Jun,195,"August 15, 1954",Indiana University
Bob Williams,1956,1957,F,06-Jun,230,"May 12, 1931",Florida Agricultural and Mechanical University
Bob Wilson,1952,1952,G,06-Apr,185,"March 8, 1926",West Virginia State University
Bob Wood,1950,1950,G,05-Oct,,"October 7, 1921",Northern Illinois University
Bob Woollard,1970,1970,C,06-Oct,225,"July 27, 1940",Wake Forest University
Boban Marjanovic,2016,2018,C,07-Mar,290,"August 15, 1988",
Bobby Brown,2009,2018,G,06-Feb,175,"September 24, 1984","California State University, Fullerton"
Bobby Cattage,1982,1986,F,06-Sep,250,"August 17, 1958",Auburn University
Bobby Cook,1950,1950,G-F,05-Oct,155,"April 1, 1923",University of Wisconsin
Bobby Croft,1971,1971,C,06-Oct,200,"March 17, 1946",University of Tennessee
Bobby Edmonds,1968,1970,F,06-Jun,220,"March 8, 1941",Tennessee State University
Bobby Fields,1972,1972,G,06-Mar,175,"October 20, 1949",La Salle University
Bobby Hooper,1969,1969,G,6-0,180,"December 22, 1946",University of Dayton
Bobby Hurley,1994,1998,G,6-0,165,"June 28, 1971",Duke University
Bobby Jackson,1998,2009,G,06-Jan,185,"March 13, 1973",University of Minnesota
Bobby Jones,1975,1986,F,06-Sep,210,"December 18, 1951",University of North Carolina
Bobby Jones,2007,2008,F,06-Jul,215,"January 9, 1984",University of Washington
Bobby Lewis,1968,1971,G,06-Mar,175,"March 20, 1945",University of North Carolina
Bobby Lloyd,1968,1969,G,06-Feb,184,"January 3, 1946",Rutgers University
Bobby Phills,1992,2000,G,06-May,210,"December 20, 1969",Southern University and A&M College
Bobby Portis,2016,2018,F,06-Nov,230,"February 10, 1995",University of Arkansas
Bobby Rascoe,1968,1970,G-F,06-Apr,205,"July 22, 1940",Western Kentucky University
Bobby Simmons,2002,2012,G-F,06-Jul,210,"June 2, 1980",DePaul University
Bobby Smith,1960,1962,G,06-Apr,190,"August 20, 1937",West Virginia University
Bobby Wanzer,1949,1957,G,6-0,170,"June 4, 1921",Seton Hall University
Bobby Washington,1970,1972,G,05-Nov,175,"July 11, 1947",Eastern Kentucky University
Bobby Watson,1955,1955,G,6-0,160,"March 22, 1930",University of Kentucky
Bobby Wilson,1968,1968,F,06-Aug,215,,University of Kansas
Bobby Wilson,1975,1978,G,06-Mar,175,"January 15, 1951",Wichita State University
Bogdan Bogdanovic,2018,2018,G,06-Jun,205,"August 18, 1992",
Bojan Bogdanovic,2015,2018,G-F,06-Aug,216,"April 18, 1989",
Bones McKinney,1947,1952,F-C,06-Jun,185,"January 1, 1919",University of North Carolina
Boniface N'Dong,2006,2006,C,7-0,198,"March 9, 1977",
Bonzi Wells,1999,2008,G-F,06-May,210,"September 28, 1976",Ball State University
Boo Ellis,1959,1960,F,06-May,185,"February 11, 1936",Niagara University
Boris Diaw,2004,2017,F-C,06-Aug,250,"April 16, 1982",
Boris Nachamkin,1955,1955,F,06-Jun,210,"December 6, 1933",New York University
Bostjan Nachbar,2003,2008,F,06-Sep,221,"July 3, 1980",
Bracey Wright,2006,2007,G,06-Mar,210,"July 1, 1984",Indiana University
Brad Branson,1982,1983,C-F,06-Oct,220,"September 24, 1958",Southern Methodist University
Brad Daugherty,1987,1994,C,7-0,245,"October 19, 1965",University of North Carolina
Brad Davis,1978,1992,G,06-Mar,180,"December 17, 1955",University of Maryland
Brad Holland,1980,1982,G,06-Mar,180,"December 6, 1956","University of California, Los Angeles"
Brad Lohaus,1988,1998,F-C,06-Nov,230,"September 29, 1964",University of Iowa
Brad Miller,1999,2012,C,06-Nov,244,"April 12, 1976",Purdue University
Brad Sellers,1987,1993,C-F,7-0,210,"December 17, 1962",Ohio State University
Brad Wright,1987,1988,F,06-Nov,225,"March 26, 1962","University of California, Los Angeles"
Bradley Beal,2013,2018,G,06-May,207,"June 28, 1993",University of Florida
Brady Walker,1949,1952,F-C,06-Jun,205,"March 15, 1921",Brigham Young University
Brandan Wright,2008,2018,F-C,06-Oct,210,"October 5, 1987",University of North Carolina
Branden Dawson,2016,2016,F,06-Jun,225,"February 1, 1993",Michigan State University
Brandin Knight,2005,2005,G,6-0,180,"December 16, 1981",University of Pittsburgh
Brandon Armstrong,2002,2004,G,06-May,188,"June 16, 1980",Pepperdine University
Brandon Bass,2006,2017,F,06-Aug,250,"April 30, 1985",Louisiana State University
Brandon Davies,2014,2015,F,06-Oct,240,"July 25, 1991",Brigham Young University
Brandon Hunter,2004,2005,F,06-Jul,260,"November 24, 1980",Ohio University
Brandon Ingram,2017,2018,F,06-Sep,190,"September 2, 1997",Duke University
Brandon Jennings,2010,2017,G,06-Jan,170,"September 23, 1989",
Brandon Knight,2012,2017,G,06-Mar,189,"December 2, 1991",University of Kentucky
Brandon Paul,2018,2018,G,06-Apr,200,"April 30, 1991",University of Illinois at Urbana-Champaign
Brandon Roy,2007,2013,G,06-Jun,215,"July 23, 1984",University of Washington
Brandon Rush,2009,2017,G-F,06-Jun,220,"July 7, 1985",University of Kansas
Brandon Williams,1998,2003,G,06-Jun,215,"February 27, 1975",Davidson College
Brant Weidner,1984,1984,F,06-Sep,230,"October 28, 1960",College of William & Mary
Brendan Haywood,2002,2015,C,7-0,268,"November 27, 1979",University of North Carolina
Brendan McCann,1958,1960,G,06-Feb,178,"July 5, 1935",St. Bonaventure University
Brent Barry,1996,2009,G,06-Jun,185,"December 31, 1971",Oregon State University
Brent Price,1993,2002,G,06-Jan,165,"December 9, 1968",University of Oklahoma
Brent Scott,1997,1997,F-C,06-Oct,250,"June 15, 1971",Rice University
Brett Szabo,1997,1997,C,06-Nov,230,"February 1, 1968",Augustana College (SD)
Brett Vroman,1981,1981,C,7-0,220,"December 25, 1955","University of Nevada, Las Vegas"
Brevin Knight,1998,2009,G,05-Oct,173,"November 8, 1975",Stanford University
Brian Brunkhorst,1969,1969,F,06-Jun,208,"June 12, 1945",Marquette University
Brian Cardinal,2001,2012,F,06-Aug,245,"May 2, 1977",Purdue University
Brian Cook,2004,2012,F,06-Sep,234,"December 4, 1980",University of Illinois at Urbana-Champaign
Brian Davis,1994,1994,F-G,06-Jul,200,"June 21, 1970",Duke University
Brian Evans,1997,1999,F,06-Aug,220,"September 13, 1973",Indiana University
Brian Grant,1995,2006,F,06-Sep,254,"March 5, 1972",Xavier University
Brian Heaney,1970,1970,G,06-Feb,180,"September 3, 1946",Acadia University
Brian Howard,1992,1993,F,06-Jun,204,"October 19, 1967",North Carolina State University
Brian Mahoney,1973,1973,G,06-Mar,175,"December 17, 1948",Manhattan College
Brian Martin,1986,1986,F,06-Sep,212,"August 18, 1962",University of Kansas
Brian Oliver,1991,1998,G,06-Apr,210,"June 1, 1968",Georgia Institute of Technology
Brian Quinnett,1990,1992,F,06-Aug,235,"May 30, 1966",Washington State University
Brian Roberts,2013,2017,G,06-Jan,173,"December 3, 1985",University of Dayton
Brian Rowsom,1988,1990,F,06-Sep,220,"October 23, 1965",University of North Carolina at Wilmington
Brian Scalabrine,2002,2012,F,06-Sep,241,"March 18, 1978",University of Southern California
Brian Shaw,1989,2003,G,06-Jun,190,"March 22, 1966","University of California, Santa Barbara"
Brian Skinner,1999,2012,F,06-Sep,255,"May 19, 1976",Baylor University
Brian Taylor,1973,1982,G,06-Feb,185,"June 9, 1951",Princeton University
Brian Winters,1975,1983,G-F,06-Apr,185,"March 1, 1952",University of South Carolina
Briante Weber,2016,2018,G,06-Feb,165,"December 29, 1992",Virginia Commonwealth University
Brice Johnson,2017,2018,F,06-Oct,230,"June 27, 1994",University of North Carolina
Britton Johnsen,2004,2005,F,06-Oct,210,"July 8, 1979",University of Utah
Brook Lopez,2009,2018,C,7-0,275,"April 1, 1988",Stanford University
Brook Steppe,1983,1989,G-F,06-May,195,"November 7, 1959",Georgia Institute of Technology
Brooks Thompson,1995,1998,G,06-Apr,193,"July 19, 1970",Oklahoma State University
Bruce Bowen,1997,2009,F,06-Jul,185,"June 14, 1971","California State University, Fullerton"
Bruce Douglas,1987,1987,G,06-Mar,195,"April 9, 1964",University of Illinois at Urbana-Champaign
Bruce Flowers,1983,1983,F,06-Aug,225,"June 13, 1957",University of Notre Dame
Bruce Hale,1949,1951,G-F,06-Jan,170,"August 30, 1918",Santa Clara University
Bruce Kuczenski,1984,1984,F,06-Oct,230,"February 3, 1961",University of Connecticut
