name,year_start,year_end,position,height,weight,birth_date,college
Barry Stevens,1993,1993,G-F,06-May,195,"January 17, 1963",Iowa State University
Barry Sumpter,1989,1989,F-C,06-Nov,215,"November 11, 1965",Austin Peay State University
Barry Yates,1972,1972,F,06-Jul,215,"January 30, 1946",University of Maryland
Bart Kofoed,1988,1993,G,06-Apr,210,"March 24, 1964",University of Nebraska at Kearney
Bato Govedarica,1954,1954,G,05-Nov,185,"April 17, 1928",DePaul University
Bayard Forrest,1978,1979,C,06-Oct,235,"July 8, 1954",Grand Canyon University
Belus Smawley,1947,1952,G-F,06-Jan,195,"March 20, 1918",Appalachian State University
Ben Bentil,2017,2017,F,06-Sep,235,"March 29, 1995",Providence College
Ben Clyde,1975,1975,F,06-Jul,198,"June 10, 1951",Florida State University
Ben Coleman,1987,1994,F,06-Sep,235,"November 14, 1961",University of Maryland
Ben Davis,1997,2000,F,06-Sep,240,"December 26, 1972",University of Arizona
Ben Gillery,1989,1989,C,7-0,235,"September 19, 1965",Georgetown University
Ben Goldfaden,1947,1947,F,06-Jan,185,"September 6, 1913",George Washington University
Ben Gordon,2005,2015,G,06-Mar,200,"April 4, 1983",University of Connecticut
Ben Handlogten,2004,2005,C,06-Oct,240,"November 16, 1973",Western Michigan University
Ben Hansbrough,2013,2013,G,06-Mar,203,"December 23, 1987",University of Notre Dame
Ben Kelso,1974,1974,G,06-Mar,195,"April 11, 1949",Central Michigan University
Ben McDonald,1986,1989,F,06-Aug,210,"July 20, 1962","University of California, Irvine"
Ben McLemore,2014,2018,G,06-May,195,"February 11, 1993",University of Kansas
Ben Poquette,1978,1987,F-C,06-Sep,235,"May 7, 1955",Central Michigan University
Ben Schadler,1948,1948,F,6-0,185,"March 9, 1924",Northwestern University
Ben Scharnus,1947,1949,F,06-Feb,173,"December 11, 1917",Seton Hall University
Ben Simmons,2018,2018,G-F,06-Oct,230,"July 20, 1996",Louisiana State University
Ben Uzoh,2011,2012,G,06-Mar,205,"March 19, 1988",University of Tulsa
Ben Wallace,1997,2012,F-C,06-Sep,240,"September 10, 1974",Virginia Union University
Ben Warley,1963,1970,F-G,06-May,200,"September 4, 1936",Tennessee State University
Bennie Swain,1959,1959,F,06-Aug,220,"December 16, 1933",Texas Southern University
Beno Udrih,2005,2017,G,06-Mar,205,"July 5, 1982",
Benoit Benjamin,1986,2000,C,7-0,250,"November 22, 1964",Creighton University
Bernard James,2013,2015,C,06-Oct,240,"February 7, 1985",Florida State University
Bernard King,1978,1993,F,06-Jul,205,"December 4, 1956",University of Tennessee
Bernard Robinson,2005,2007,G-F,06-Jun,210,"December 26, 1980",University of Michigan
Bernard Thompson,1985,1989,F-G,06-Jun,210,"August 30, 1962","California State University, Fresno"
Bernard Toone,1980,1980,F,06-Sep,210,"July 14, 1956",Marquette University
Bernie Fryer,1974,1975,G,06-Mar,185,"December 25, 1949",Brigham Young University
Bernie Harris,1975,1975,F,06-Oct,200,"November 26, 1950",Virginia Commonwealth University
Bernie Williams,1970,1974,G,06-Mar,175,"December 30, 1945",La Salle University
Bert Cook,1955,1955,G-F,06-Mar,185,"April 26, 1929",Utah State University
Bevo Nordmann,1962,1965,C,06-Oct,225,"December 11, 1939",Saint Louis University
Bill Allen,1968,1968,C-F,06-Aug,205,,New Mexico State University
Bill Bolger,1954,1954,F,06-May,205,"August 21, 1931",Georgetown University
Bill Bradley,1968,1968,G,05-Nov,165,"June 16, 1941",
Bill Bradley,1968,1977,F-G,06-May,205,"July 28, 1943",Princeton University
Bill Bridges,1963,1975,F-C,06-Jun,228,"April 4, 1939",University of Kansas
Bill Buntin,1966,1966,C-F,06-Jul,250,"May 5, 1942",University of Michigan
Bill Bunting,1970,1972,F-C,06-Aug,200,"August 26, 1947",University of North Carolina
Bill Calhoun,1949,1955,F-G,06-Mar,180,"November 4, 1927",City College of San Francisco
Bill Cartwright,1980,1995,C,07-Jan,245,"July 30, 1957",University of San Francisco
Bill Chamberlain,1973,1974,F,06-Jun,188,"December 16, 1949",University of North Carolina
Bill Closs,1950,1952,F-C,06-May,195,"January 8, 1922",Rice University
Bill Crow,1968,1968,G,06-Jan,180,"December 9, 1940",Westminster College of Utah
Bill Curley,1995,2001,F,06-Sep,220,"May 29, 1972",Boston College
Bill Davis,1947,1947,F,06-Mar,215,"October 3, 1920",University of Notre Dame
Bill Dinwiddie,1968,1972,F,06-Jul,220,"July 15, 1943",New Mexico Highlands University
Bill Downey,1948,1948,C,06-Jun,210,"November 11, 1923",Marquette University
Bill Ebben,1958,1958,G,06-Apr,190,"October 7, 1935",University of Detroit Mercy
Bill Edwards,1994,1994,F,06-Aug,215,"September 22, 1971",Wright State University
Bill Gabor,1950,1955,G-F,05-Nov,170,"May 13, 1922",Syracuse University
Bill Gaines,1969,1969,G,06-Apr,185,"March 10, 1946",East Texas State University
Bill Garner,1968,1968,C,06-Oct,220,"June 17, 1940",University of Portland
Bill Garnett,1983,1986,F,06-Sep,225,"April 22, 1960",University of Wyoming
Bill Hanzlik,1981,1990,G-F,06-Jul,185,"December 6, 1957",University of Notre Dame
Bill Henry,1949,1950,C,06-Sep,215,"December 27, 1924",Rice University
Bill Herman,1950,1950,G,06-Mar,170,"May 17, 1924",Mount Union College
Bill Hewitt,1969,1975,F,06-Jul,210,"August 8, 1944",University of Southern California
Bill Higgins,1975,1975,G,06-Feb,180,"December 15, 1952",Ashland University
Bill Hosket,1969,1972,F-C,06-Aug,225,"December 20, 1946",Ohio State University
